invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons;;,cluster
INV-33201300010,2021-01-04,2573,Hy-Vee Food Store / Muscatine,2400 2nd Ave,Muscatine,52761.0,POINT (-91.035138 41.451349),70.0,MUSCATINE,1012100.0,Canadian Whiskies,260.0,DIAGEO AMERICAS,10804.0,Crown Royal Regal Apple,44.0,200.0,4.72,7.08,3.0,21.24,0.6,0.15;;,3.0
INV-33173100052,2021-01-04,4829,Central City 2,1501 Michigan Ave,Des Moines,50314.0,POINT (-93.613739 41.60572),77.0,POLK,1022200.0,100% Agave Tequila,255.0,Infinium Spirits,87385.0,Corralejo Silver,6.0,750.0,15.0,22.5,6.0,135.0,4.5,1.18;;,1.0
INV-33175100120,2021-01-04,2619,Hy-Vee Wine and Spirits / WDM,1725  74th St,West Des Moines,50266.0,POINT (-93.808855 41.598515),77.0,POLK,1081300.0,American Cordials & Liqueur,421.0,SAZERAC COMPANY  INC,71886.0,Amaretto E Dolce,12.0,750.0,3.34,5.01,3.0,15.03,2.25,0.59;;,1.0
"INV-33201600027,2021-01-04,6067,Fast Ave One Stop / Muscatine,2111 Park Ave,Muscatine,52761.0,POINT (-91.030306 41.447149),70,MUSCATINE,1082000.0,Imported Cordials & Liqueurs,192.0,""Mast-Jagermeister US, Inc"",65251,Jagermeister Liqueur Mini,5,50,29.53,44.3,2,88.6,0.1,0.02;;,,,,,,,,,,,,,,,,,,,,,,,,";;
INV-33187700018,2021-01-04,5106,Randy's Neighborhood Market,622 10th  St,DeWitt,52742.0,POINT (-90.540132 41.825139),23.0,CLINTON,1081300.0,American Cordials & Liqueur,55.0,SAZERAC NORTH AMERICA,73986.0,Di Amore Amaretto,12.0,750.0,6.0,9.0,2.0,18.0,1.5,0.39;;,0.0
INV-33176500016,2021-01-04,5363,Casey's General Store # 2253/ Clive,2070 NW 100th St,Clive,50325.0,POINT (-93.755735 41.612058),77.0,POLK,1022100.0,Mixto Tequila,395.0,PROXIMO,89196.0,Jose Cuervo Especial Reposado,12.0,750.0,11.07,16.61,6.0,99.66,4.5,1.18;;,1.0
INV-33170400058,2021-01-04,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 Wilson Avenue West,Cedar Rapids,52404.0,POINT (-91.658577 41.955859),57.0,LINN,1071100.0,Cocktails /RTD,55.0,SAZERAC NORTH AMERICA,57144.0,Chi-Chi's White Russian,6.0,1750.0,6.5,9.75,6.0,51.78,10.5,2.77;;,0.0
INV-33178800075,2021-01-04,2200,Sac Liquor Store,619 E Main St,Sac City,50583.0,POINT (-94.974011 42.421341),81.0,SAC,1081200.0,Cream Liqueurs,260.0,DIAGEO AMERICAS,68034.0,Baileys Original Irish Cream,12.0,375.0,8.49,12.74,1.0,12.74,0.37,0.09;;,1.0
INV-33178300024,2021-01-04,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401.0,POINT (-94.853591 42.064155),14.0,CARROLL,1011200.0,Straight Bourbon Whiskies,184.0,FOUR ROSES DISTILLERY,18352.0,Four Roses Bourbon,12.0,750.0,11.84,17.76,12.0,213.12,9.0,2.37;;,1.0
INV-33200800012,2021-01-04,5846,Rockingham Liquor - Davenport,2423 Rockingham Road,Davenport,52802.0,POINT (-90.613625 41.514051),82.0,SCOTT,1081300.0,American Cordials & Liqueur,322.0,Prestige Wine & Spirits Group,75198.0,Kinky Blue,6.0,750.0,10.0,15.0,1.0,15.0,0.75,0.19;;,0.0
INV-33203000014,2021-01-04,5886,Beecher Liquor / Dubuque,1691 Asbury Rd,Dubuque,52001.0,POINT (-90.696886 42.500775000000004),31.0,DUBUQUE,1041100.0,American Dry Gins,370.0,PERNOD RICARD USA,32231.0,Seagrams Extra Dry Gin Mini,12.0,50.0,3.3,4.95,12.0,59.4,0.6,0.15;;,2.0
INV-33177100012,2021-01-04,5211,Kum & Go #129  /  Johnston,5225 NW  86th  St,Johnston,50131.0,POINT (-93.736395 41.655804),77.0,POLK,1012100.0,Canadian Whiskies,260.0,DIAGEO AMERICAS,11290.0,Crown Royal Mini,10.0,50.0,7.35,11.03,2.0,22.06,0.1,0.02;;,1.0
INV-33179500005,2021-01-04,4569,Car-Go-Express / Sutherland,202 West Southern St,Sutherland,51058.0,POINT (-95.499742 42.968051),71.0,OBRIEN,1012100.0,Canadian Whiskies,260.0,DIAGEO AMERICAS,10807.0,Crown Royal Regal Apple,12.0,750.0,15.59,23.39,12.0,280.68,9.0,2.37;;,3.0
"INV-33202200045,2021-01-04,2662,Hy-Vee Wine & Spirits / Muscatine,""522 Mulberry, Suite A"",Muscatine,52761.0,POINT (-91.04437 41.426615),70,MUSCATINE,1012100.0,Canadian Whiskies,380.0,Phillips Beverage,14474,Revel Stoke Roasted Pecan,12,750,8.34,12.51,12,150.12,9,2.37;;,,,,,,,,,,,,,,,,,,,,,,,,";;
INV-33188100001,2021-01-04,5682,Ambysure Inc / Clinton,1641 S Bluff Blvd,Clinton,52732.0,POINT (-90.225022 41.833351),23.0,CLINTON,1052100.0,Imported Brandies,389.0,REMY COINTREAU USA INC,49189.0,Remy Martin VSOP,24.0,200.0,6.86,10.29,24.0,246.96,4.8,1.26;;,2.0
INV-33181000063,2021-01-04,2512,Hy-Vee Wine and Spirits / Iowa City,1720 Waterfront Dr,Iowa City,52240.0,POINT (-91.53046300000001 41.642764),52.0,JOHNSON,1082200.0,Imported Schnapps,260.0,DIAGEO AMERICAS,69947.0,Rumple Minze Peppermint Schnapps Liqueur,12.0,1000.0,15.84,23.76,24.0,570.24,24.0,6.34;;,3.0
INV-33169800066,2021-01-04,2561,Hy-Vee Food Store / Fleur / DSM,4605 Fleur Drive,Des Moines,50321.0,POINT (-93.64494300000001 41.542748),77.0,POLK,1022200.0,100% Agave Tequila,260.0,DIAGEO AMERICAS,87485.0,Don Julio Blanco,6.0,750.0,29.5,44.25,6.0,265.5,4.5,1.18;;,1.0
INV-33190100053,2021-01-04,4269,Tipton Family Foods,610 Cedar St,Tipton,52772.0,POINT (-91.128389 41.771753),16.0,CEDAR,1011200.0,Straight Bourbon Whiskies,619.0,Campari America,22155.0,Wild Turkey 101 Round,12.0,375.0,6.5,9.75,3.0,29.25,1.12,0.29;;,0.0
